id,title,assignee,inventor,priority_date,creation_date,publication_date,grant_date,result_link,representative_figure_link,number_of_authors,number_of_viewers
US-11074495-B2,System and method for extremely efficient image and pattern recognition and artificial intelligence platform ,"Z Advanced Computing, Inc. (Zac)","Lotfi A. Zadeh, Saied Tadayon, Bijan Tadayon",2013-02-28,2018-03-12,2021-07-27,2021-07-27,https://patents.google.com/patent/US11074495B2/en,https://patentimages.storage.googleapis.com/32/26/a3/7b3b4626d20225/US11074495-20210727-D00000.png,two,10000
AU-2021204774-B2,Security in a smart-sensored home ,Google Llc,"Anthony M. Fadell, Yoky Matsuoka, Matthew Lee Rogers, Honjo Shigefumi, David Sloo, Maxime Veron",2013-03-14,2021-07-08,2022-11-10,2022-11-10,https://patents.google.com/patent/AU2021204774B2/en,,two,10001
US-11526167-B1,Autonomous vehicle component maintenance and repair ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2016-01-22,2020-10-20,2022-12-13,2022-12-13,https://patents.google.com/patent/US11526167B1/en,https://patentimages.storage.googleapis.com/7b/3d/34/bef86af9dbce19/US11526167-20221213-D00000.png,two,10002
US-11238538-B1,Accident risk model determination using autonomous vehicle operating data ,State Farm Mutual Automobile Insurance Company,"Blake Konrardy, Scott T. Christensen, Gregory Hayward, Scott Farris",2014-05-20,2019-11-07,2022-02-01,2022-02-01,https://patents.google.com/patent/US11238538B1/en,https://patentimages.storage.googleapis.com/13/8b/35/225f9a6508feb2/US11238538-20220201-D00000.png,two,10003
US-2023118340-A1,Artificial intelligence-based systems and methods for vehicle operation ,"SparkCognition, Inc.","Syed Mohammad Amir Husain, Milton Lopez",2018-07-23,2022-12-19,2023-04-20,,https://patents.google.com/patent/US20230118340A1/en,https://patentimages.storage.googleapis.com/b6/c1/07/b36869f56297aa/US20230118340A1-20230420-D00000.png,two,10004
US-11871148-B1,Artificial intelligence communication assistance in audio-visual composition ,"Grammarly, Inc.","Oleksiy Shevchenko, Ayan Mandal, Bradley Jon Hoover, Joel Tetreault, Maksym Lytvyn, Dmytro Lider",2017-08-04,2021-12-07,2024-01-09,2024-01-09,https://patents.google.com/patent/US11871148B1/en,https://patentimages.storage.googleapis.com/31/5a/bf/ff28891d47fb66/US11871148-20240109-D00000.png,two,10005
US-11726931-B2,Artificial intelligence-enabled management of storage media access ,"Marvell Asia Pte, Ltd.","Christophe Therene, Nedeljko Varnica, Phong Sy Nguyen",2018-10-30,2022-09-26,2023-08-15,2023-08-15,https://patents.google.com/patent/US11726931B2/en,https://patentimages.storage.googleapis.com/f4/3c/dd/dcce3178db7dd3/US11726931-20230815-D00000.png,two,10006
US-11923057-B2,Method and system using artificial intelligence to monitor user characteristics during a telemedicine session ,"Rom Technologies, Inc.","Steven Mason, Daniel Posnack, Peter Arn, Wendy Para, S. Adam Hacking, Micheal Mueller, Joseph GUANERI, Jonathan Greene",2019-10-03,2021-08-23,2024-03-05,2024-03-05,https://patents.google.com/patent/US11923057B2/en,https://patentimages.storage.googleapis.com/1b/e1/44/dafa93cf6dde79/US11923057-20240305-D00000.png,one,10007
US-11282608-B2,Method and system for using artificial intelligence and machine learning to provide recommendations to a healthcare provider in or near real-time during a telemedicine session ,"Rom Technologies, Inc.","Steven Mason, Daniel Posnack, Peter Arn, Wendy Para, S. Adam Hacking, Micheal Mueller, Joseph GUANERI, Jonathan Greene",2019-10-03,2021-01-14,2022-03-22,2022-03-22,https://patents.google.com/patent/US11282608B2/en,https://patentimages.storage.googleapis.com/12/29/98/d5f9e42b9310ad/US11282608-20220322-D00000.png,one,10008
US-11295848-B2,Method and system for using artificial intelligence and machine learning to create optimal treatment plans based on monetary value amount generated and/or patient outcome ,"Rom Technologies, Inc.","Steven Mason, Daniel Posnack, Peter Arn, Wendy Para, S. Adam Hacking, Micheal Mueller, Joseph GUANERI, Jonathan Greene",2019-10-03,2021-01-13,2022-04-05,2022-04-05,https://patents.google.com/patent/US11295848B2/en,https://patentimages.storage.googleapis.com/da/1a/7c/a94dc10a26bdcb/US11295848-20220405-D00000.png,one,10009
